No,;Time;Source;Destination;Protocol;Length;Info;;;Time1;Time2;Delay;;Delay1;Delay2;Jitter
606;20,298203;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=37609 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,298203;20,298203;0;;-0,000094;0,000094;0,000188
607;20,298203;104,93,104,184;192,168,1,6;TCP;1506;443  >  58010 [ACK] Seq=39061 Ack=3080 Win=35840 Len=1452 [TCP segment of a reassembled PDU];;;20,298203;20,298203;0,000094;;-0,000822;0,000916;0,001738
608;20,298203;104,93,104,184;192,168,1,6;TLSv1,2;1436;Application Data;;;20,298203;20,298297;0,000916;;-0,001032;0,001948;0,00298
610;20,298297;192,168,1,6;104,93,104,184;TCP;54;58010  >  443 [ACK] Seq=3080 Ack=41895 Win=132096 Len=0;;;20,298297;20,299213;0,001948;;0,001826;0,000122;-0,001704
611;20,299213;192,168,1,6;23,221,78,27;TCP;66;58012  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;20,299213;20,301161;0,000122;;-0,000745;0,000867;0,001612
612;20,301161;104,17,78,107;192,168,1,6;TCP;66;443  >  58011 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024;;;20,301161;20,301283;0,000867;;-0,012437;0,013304;0,025741
613;20,301283;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;20,301283;20,30215;0,013304;;0,013191;0,000113;-0,013078
614;20,30215;192,168,1,6;104,17,78,107;TLSv1,3;571;Client Hello;;;20,30215;20,315454;0,000113;;-0,000299;0,000412;0,000711
615;20,315454;23,221,78,27;192,168,1,6;TCP;66;443  >  58012 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1452 SACK_PERM=1 WS=128;;;20,315454;20,315567;0,000412;;-0,006726;0,007138;0,013864
616;20,315567;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0;;;20,315567;20,315979;0,007138;;0,004033;0,003105;-0,000928
617;20,315979;192,168,1,6;23,221,78,27;TLSv1,2;571;Client Hello;;;20,315979;20,323117;0,003105;;0,003105;0;-0,003105
618;20,323117;104,17,78,107;192,168,1,6;TCP;54;443  >  58011 [ACK] Seq=1 Ack=518 Win=67584 Len=0;;;20,323117;20,326222;0;;-0,000104;0,000104;0,000208
619;20,326222;104,17,78,107;192,168,1,6;TLSv1,3;1506;Server Hello, Change Cipher Spec;;;20,326222;20,326222;0,000104;;-0,008468;0,008572;0,01704
620;20,326222;104,17,78,107;192,168,1,6;TLSv1,3;593;Application Data;;;20,326222;20,326326;0,008572;;0,004276;0,004296;0,00002
621;20,326326;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=518 Ack=1992 Win=131584 Len=0;;;20,326326;20,334898;0,004296;;0,002868;0,001428;-0,00144
622;20,334898;23,221,78,27;192,168,1,6;TCP;54;443  >  58012 [ACK] Seq=1 Ack=518 Win=30336 Len=0;;;20,334898;20,339194;0,001428;;0,001428;0;-0,001428
623;20,339194;23,221,78,27;192,168,1,6;TLSv1,2;1506;Server Hello;;;20,339194;20,340622;0;;0;0;0
624;20,340622;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=1453 Ack=518 Win=30336 Len=1452 [TCP segment of a reassembled PDU];;;20,340622;20,340622;0;;-0,000106;0,000106;0,000212
625;20,340622;23,221,78,27;192,168,1,6;TCP;1246;443  >  58012 [PSH, ACK] Seq=2905 Ack=518 Win=30336 Len=1192 [TCP segment of a reassembled PDU];;;20,340622;20,340622;0,000106;;-0,011404;0,01151;0,022914
626;20,340622;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=4097 Ack=518 Win=30336 Len=1452 [TCP segment of a reassembled PDU];;;20,340622;20,340728;0,01151;;0,011163;0,000347;-0,010816
627;20,340728;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=518 Ack=5549 Win=132096 Len=0;;;20,340728;20,352238;0,000347;;0,000057;0,00029;0,000233
628;20,352238;192,168,1,6;104,17,78,107;TLSv1,3;118;Change Cipher Spec, Application Data;;;20,352238;20,352585;0,00029;;-0,007023;0,007313;0,014336
629;20,352585;192,168,1,6;104,17,78,107;TLSv1,3;146;Application Data;;;20,352585;20,352875;0,007313;;0,002202;0,005111;0,002909
630;20,352875;192,168,1,6;104,17,78,107;TLSv1,3;342;Application Data;;;20,352875;20,360188;0,005111;;0,004779;0,000332;-0,004447
631;20,360188;23,221,78,27;192,168,1,6;TLSv1,2;1034;Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;20,360188;20,365299;0,000332;;0,000036;0,000296;0,00026
632;20,365299;192,168,1,6;23,221,78,27;TLSv1,2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;20,365299;20,365631;0,000296;;-0,003996;0,004292;0,008288
633;20,365631;192,168,1,6;23,221,78,27;TLSv1,2;153;Application Data;;;20,365631;20,365927;0,004292;;0,002514;0,001778;-0,000736
634;20,365927;192,168,1,6;23,221,78,27;TLSv1,2;335;Application Data;;;20,365927;20,370219;0,001778;;0,001778;0;-0,001778
635;20,370219;104,17,78,107;192,168,1,6;TCP;56;443  >  58011 [ACK] Seq=1992 Ack=582 Win=67584 Len=0;;;20,370219;20,371997;0;;0;0;0
636;20,371997;104,17,78,107;192,168,1,6;TLSv1,3;582;Application Data, Application Data;;;20,371997;20,371997;0;;-0,00055;0,00055;0,0011
637;20,371997;104,17,78,107;192,168,1,6;TCP;56;443  >  58011 [ACK] Seq=2520 Ack=674 Win=67584 Len=0;;;20,371997;20,371997;0,00055;;0,000485;0,000065;-0,00042
638;20,371997;104,17,78,107;192,168,1,6;TCP;56;443  >  58011 [ACK] Seq=2520 Ack=962 Win=68608 Len=0;;;20,371997;20,372547;0,000065;;-0,005379;0,005444;0,010823
640;20,372547;192,168,1,6;104,17,78,107;TLSv1,3;85;Application Data;;;20,372547;20,372612;0,005444;;0,005444;0;-0,005444
641;20,372612;104,17,78,107;192,168,1,6;TLSv1,3;85;Application Data;;;20,372612;20,378056;0;;-0,000112;0,000112;0,000224
642;20,378056;104,17,78,107;192,168,1,6;TLSv1,3;1445;Application Data;;;20,378056;20,378056;0,000112;;-0,002756;0,002868;0,005624
643;20,378056;104,17,78,107;192,168,1,6;TLSv1,3;1445;Application Data;;;20,378056;20,378168;0,002868;;0,002868;0;-0,002868
644;20,378168;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=993 Ack=5333 Win=131584 Len=0;;;20,378168;20,381036;0;;0;0;0
645;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data;;;20,381036;20,381036;0;;0;0;0
646;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1384;Application Data;;;20,381036;20,381036;0;;0;0;0
647;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data;;;20,381036;20,381036;0;;0;0;0
648;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1384;Application Data;;;20,381036;20,381036;0;;0;0;0
649;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data;;;20,381036;20,381036;0;;0;0;0
650;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1384;Application Data;;;20,381036;20,381036;0;;0;0;0
651;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data;;;20,381036;20,381036;0;;0;0;0
652;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,381036;20,381036;0;;-0,00022;0,00022;0,00044
653;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1323;Application Data;;;20,381036;20,381036;0,00022;;-0,000175;0,000395;0,00057
654;20,381036;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data;;;20,381036;20,381256;0,000395;;0,000395;0;-0,000395
655;20,381256;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=993 Ack=19304 Win=131584 Len=0;;;20,381256;20,381651;0;;0;0;0
656;20,381651;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,381651;20,381651;0;;0;0;0
657;20,381651;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,381651;20,381651;0;;-0,000105;0,000105;0,00021
658;20,381651;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,381651;20,381651;0,000105;;-0,0059;0,006005;0,011905
659;20,381651;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,381651;20,381756;0,006005;;0,006005;0;-0,006005
660;20,381756;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=993 Ack=25112 Win=131584 Len=0;;;20,381756;20,387761;0;;0;0;0
661;20,387761;104,17,78,107;192,168,1,6;TLSv1,3;1140;Application Data;;;20,387761;20,387761;0;;-0,000077;0,000077;0,000154
662;20,387761;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data;;;20,387761;20,387761;0,000077;;-0,000939;0,001016;0,001955
663;20,387761;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,387761;20,387838;0,001016;;0,001016;0;-0,001016
664;20,387838;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=993 Ack=29102 Win=131584 Len=0;;;20,387838;20,388854;0;;0;0;0
665;20,388854;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,388854;20,388854;0;;0;0;0
666;20,388854;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,388854;20,388854;0;;0;0;0
667;20,388854;104,17,78,107;192,168,1,6;TLSv1,3;1201;Application Data;;;20,388854;20,388854;0;;0;0;0
668;20,388854;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data;;;20,388854;20,388854;0;;-0,000061;0,000061;0,000122
669;20,388854;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,388854;20,388854;0,000061;;-0,000404;0,000465;0,000869
670;20,388854;104,17,78,107;192,168,1,6;TLSv1,3;1506;Application Data [TCP segment of a reassembled PDU];;;20,388854;20,388915;0,000465;;0,000465;0;-0,000465
671;20,388915;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=993 Ack=37509 Win=131584 Len=0;;;20,388915;20,38938;0;;0;0;0
672;20,38938;23,221,78,27;192,168,1,6;TLSv1,2;312;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;20,38938;20,38938;0;;0;0;0
673;20,38938;23,221,78,27;192,168,1,6;TLSv1,2;131;Application Data;;;20,38938;20,38938;0;;-0,000107;0,000107;0,000214
674;20,38938;104,17,78,107;192,168,1,6;TLSv1,3;150;Application Data;;;20,38938;20,38938;0,000107;;0,000061;0,000046;-0,000015
675;20,38938;104,17,78,107;192,168,1,6;TLSv1,3;85;Application Data;;;20,38938;20,389487;0,000046;;-0,000389;0,000435;0,000824
676;20,389487;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1024 Ack=6864 Win=130816 Len=0;;;20,389487;20,389533;0,000435;;-0,002799;0,003234;0,006033
677;20,389533;192,168,1,6;104,17,78,107;TCP;54;58011  >  443 [ACK] Seq=993 Ack=37636 Win=131328 Len=0;;;20,389533;20,389968;0,003234;;0,003234;0;-0,003234
678;20,389968;192,168,1,6;23,221,78,27;TLSv1,2;92;Application Data;;;20,389968;20,393202;0;;-0,000144;0,000144;0,000288
679;20,393202;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=6864 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,393202;20,393202;0,000144;;-0,000791;0,000935;0,001726
680;20,393202;23,221,78,27;192,168,1,6;TLSv1,2;1498;Application Data;;;20,393202;20,393346;0,000935;;0,000878;0,000057;-0,000821
681;20,393346;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=9760 Win=132096 Len=0;;;20,393346;20,394281;0,000057;;-0,000879;0,000936;0,001815
682;20,394281;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=9760 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,394281;20,394338;0,000936;;0,00088;0,000056;-0,000824
683;20,394338;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=11212 Win=132096 Len=0;;;20,394338;20,395274;0,000056;;-0,000831;0,000887;0,001718
684;20,395274;23,221,78,27;192,168,1,6;TLSv1,2;1498;Application Data;;;20,395274;20,39533;0,000887;;0,000823;0,000064;-0,000759
685;20,39533;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=12656 Win=130560 Len=0;;;20,39533;20,396217;0,000064;;-0,001014;0,001078;0,002092
686;20,396217;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=12656 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,396217;20,396281;0,001078;;0,001021;0,000057;-0,000964
687;20,396281;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=14108 Win=132096 Len=0;;;20,396281;20,397359;0,000057;;-0,000725;0,000782;0,001507
688;20,397359;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,397359;20,397416;0,000782;;0,000727;0,000055;-0,000672
689;20,397416;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=15560 Win=132096 Len=0;;;20,397416;20,398198;0,000055;;-0,001191;0,001246;0,002437
690;20,398198;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=15560 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,398198;20,398253;0,001246;;0,001001;0,000245;-0,000756
691;20,398253;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=17012 Win=132096 Len=0;;;20,398253;20,399499;0,000245;;-0,001321;0,001566;0,002887
692;20,399499;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,399499;20,399744;0,001566;;0,001507;0,000059;-0,001448
693;20,399744;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=18464 Win=132096 Len=0;;;20,399744;20,40131;0,000059;;-0,000815;0,000874;0,001689
694;20,40131;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=18464 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,40131;20,401369;0,000874;;0,000837;0,000037;-0,0008
695;20,401369;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=19916 Win=132096 Len=0;;;20,401369;20,402243;0,000037;;-0,002236;0,002273;0,004509
696;20,402243;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,402243;20,40228;0,002273;;0,002273;0;-0,002273
697;20,40228;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=21368 Win=132096 Len=0;;;20,40228;20,404553;0;;-0,000051;0,000051;0,000102
698;20,404553;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=21368 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,404553;20,404553;0,000051;;-0,000811;0,000862;0,001673
699;20,404553;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,404553;20,404604;0,000862;;0,00082;0,000042;-0,000778
700;20,404604;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=24272 Win=132096 Len=0;;;20,404604;20,405466;0,000042;;-0,001657;0,001699;0,003356
701;20,405466;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=24272 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,405466;20,405508;0,001699;;0,001634;0,000065;-0,001569
702;20,405508;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=25724 Win=132096 Len=0;;;20,405508;20,407207;0,000065;;-0,000869;0,000934;0,001803
703;20,407207;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,407207;20,407272;0,000934;;0,000882;0,000052;-0,00083
704;20,407272;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=27176 Win=132096 Len=0;;;20,407272;20,408206;0,000052;;-0,001048;0,0011;0,002148
705;20,408206;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=27176 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,408206;20,408258;0,0011;;0,001051;0,000049;-0,001002
706;20,408258;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=28628 Win=132096 Len=0;;;20,408258;20,409358;0,000049;;-0,000786;0,000835;0,001621
707;20,409358;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,409358;20,409407;0,000835;;0,000786;0,000049;-0,000737
708;20,409407;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=30080 Win=132096 Len=0;;;20,409407;20,410242;0,000049;;-0,002291;0,00234;0,004631
709;20,410242;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=30080 Ack=1024 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,410242;20,410291;0,00234;;0,00234;0;-0,00234
710;20,410291;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=31532 Win=132096 Len=0;;;20,410291;20,412631;0;;-0,00007;0,00007;0,00014
711;20,412631;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,412631;20,412631;0,00007;;-0,001967;0,002037;0,004004
712;20,412631;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=32984 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,412631;20,412701;0,002037;;0,001978;0,000059;-0,001919
713;20,412701;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=34436 Win=132096 Len=0;;;20,412701;20,414738;0,000059;;-0,000362;0,000421;0,000783
714;20,414738;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,414738;20,414797;0,000421;;-0,001832;0,002253;0,004085
715;20,414797;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=35888 Win=132096 Len=0;;;20,414797;20,415218;0,002253;;0,002253;0;-0,002253
716;20,415218;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=35888 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,415218;20,417471;0;;-0,000077;0,000077;0,000154
717;20,417471;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,417471;20,417471;0,000077;;-0,000894;0,000971;0,001865
718;20,417471;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=38792 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,417471;20,417548;0,000971;;0,000922;0,000049;-0,000873
719;20,417548;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=40244 Win=132096 Len=0;;;20,417548;20,418519;0,000049;;-0,000648;0,000697;0,001345
720;20,418519;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,418519;20,418568;0,000697;;-0,001855;0,002552;0,004407
721;20,418568;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=41696 Win=132096 Len=0;;;20,418568;20,419265;0,002552;;0,002507;0,000045;-0,002462
722;20,419265;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=41696 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,419265;20,421817;0,000045;;-0,002279;0,002324;0,004603
723;20,421817;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,421817;20,421862;0,002324;;0,002324;0;-0,002324
724;20,421862;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=44600 Win=132096 Len=0;;;20,421862;20,424186;0;;-0,000047;0,000047;0,000094
725;20,424186;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=44600 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,424186;20,424186;0,000047;;-0,001171;0,001218;0,002389
726;20,424186;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,424186;20,424233;0,001218;;0,001218;0;-0,001218
727;20,424233;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=47504 Win=132096 Len=0;;;20,424233;20,425451;0;;-0,000032;0,000032;0,000064
728;20,425451;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=47504 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,425451;20,425451;0,000032;;-0,002535;0,002567;0,005102
729;20,425451;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,425451;20,425483;0,002567;;0,002173;0,000394;-0,001779
730;20,425483;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=50408 Win=132096 Len=0;;;20,425483;20,42805;0,000394;;0,000358;0,000036;-0,000322
731;20,42805;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=50408 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,42805;20,428444;0,000036;;-0,0017;0,001736;0,003436
732;20,428444;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,428444;20,42848;0,001736;;0,001243;0,000493;-0,00075
733;20,42848;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=53312 Win=132096 Len=0;;;20,42848;20,430216;0,000493;;0,000453;0,00004;-0,000413
734;20,430216;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=53312 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,430216;20,430709;0,00004;;-0,00105;0,00109;0,00214
735;20,430709;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,430709;20,430749;0,00109;;0,000675;0,000415;-0,00026
736;20,430749;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=56216 Win=132096 Len=0;;;20,430749;20,431839;0,000415;;0,000378;0,000037;-0,000341
737;20,431839;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=56216 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,431839;20,432254;0,000037;;-0,002015;0,002052;0,004067
738;20,432254;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,432254;20,432291;0,002052;;-0,000282;0,002334;0,002616
739;20,432291;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=59120 Win=132096 Len=0;;;20,432291;20,434343;0,002334;;0,002334;0;-0,002334
740;20,434343;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,434343;20,436677;0;;-0,000054;0,000054;0,000108
741;20,436677;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=60572 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,436677;20,436677;0,000054;;-0,002004;0,002058;0,004062
742;20,436677;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,436677;20,436731;0,002058;;0,002058;0;-0,002058
743;20,436731;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=63476 Win=132096 Len=0;;;20,436731;20,438789;0;;-0,000042;0,000042;0,000084
744;20,438789;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=63476 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,438789;20,438789;0,000042;;-0,001931;0,001973;0,003904
745;20,438789;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,438789;20,438831;0,001973;;0,001929;0,000044;-0,001885
746;20,438831;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=66380 Win=132096 Len=0;;;20,438831;20,440804;0,000044;;-0,001684;0,001728;0,003412
747;20,440804;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=66380 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,440804;20,440848;0,001728;;0,001728;0;-0,001728
748;20,440848;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=67832 Win=132096 Len=0;;;20,440848;20,442576;0;;-0,000082;0,000082;0,000164
749;20,442576;23,221,78,27;192,168,1,6;TLSv1,2;1506;Application Data [TCP segment of a reassembled PDU];;;20,442576;20,442576;0,000082;;-0,000489;0,000571;0,00106
750;20,442576;23,221,78,27;192,168,1,6;TCP;1506;443  >  58012 [ACK] Seq=69284 Ack=1062 Win=31360 Len=1452 [TCP segment of a reassembled PDU];;;20,442576;20,442658;0,000571;;-0,000517;0,001088;0,001605
751;20,442658;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=70736 Win=132096 Len=0;;;20,442658;20,443229;0,001088;;0,001088;0;-0,001088
752;20,443229;23,221,78,27;192,168,1,6;TLSv1,2;1152;Application Data, Application Data, Application Data;;;20,443229;20,444317;0;;-0,040409;0,040409;0,080818
753;20,444317;104,17,78,107;192,168,1,6;TCP;56;443  >  58011 [ACK] Seq=37636 Ack=993 Win=68608 Len=0;;;20,444317;20,444317;0,040409;;0,034268;0,006141;-0,028127
754;20,444317;104,244,38,20;192,168,1,6;TLSv1,2;391;Application Data;;;20,444317;20,484726;0,006141;;0,003425;0,002716;-0,000709
755;20,484726;13,107,246,10;192,168,1,6;TCP;54;443  >  57952 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0;;;20,484726;20,490867;0,002716;;-0,002466;0,005182;0,007648
756;20,490867;192,168,1,6;23,221,78,27;TCP;54;58012  >  443 [ACK] Seq=1062 Ack=71834 Win=130816 Len=0;;;20,490867;20,493583;0,005182;;0,005182;0;-0,005182
757;20,493583;192,168,1,6;104,244,38,20;TCP;54;58008  >  443 [ACK] Seq=4267 Ack=7234 Win=130816 Len=0;;;20,493583;20,498765;0;;0;0;0
758;20,498765;54.212.130.172;192,168,1,6;TCP;1506;443  >  58009 [ACK] Seq=23121 Ack=4492 Win=39680 Len=1452 [TCP segment of a reassembled PDU];;;20,498765;20,498765;0;;0;0;0
